FrecuenciaDeaciertos,NumeroDeAccesos
0,1
50,2
67,3
50,4
60,5
67,6
71,7
75,8
78,9
70,10
64,11
67,12
62,13
64,14
67,15
69,16
71,17
67,18
68,19
70,20
67,21
68,22
65,23
62,24
64,25
65,26
63,27
64,28
66,29
67,30
68,31
69,32
70,33
71,34
71,35
72,36
70,37
71,38
72,39
70,40
68,41
67,42
65,43
64,44
62,45
61,46
62,47
62,48
63,49
62,50
63,51
63,52
64,53
65,54
65,55
66,56
67,57
67,58
68,59
68,60
69,61
69,62
70,63
70,64
71,65
70,66
70,67
71,68
71,69
71,70
72,71
72,72
73,73
73,74
73,75
72,76
73,77
73,78
73,79
74,80
74,81
74,82
75,83
75,84
75,85
74,86
75,87
75,88
75,89
76,90
76,91
76,92
76,93
77,94
77,95
77,96
76,97
77,98
76,99
76,100
76,101
76,102
77,103
77,104
77,105
77,106
78,107
78,108
78,109
77,110
77,111
78,112
78,113
78,114
78,115
78,116
78,117
78,118
78,119
78,120
78,121
78,122
78,123
78,124
78,125
79,126
79,127
79,128
79,129
79,130
79,131
80,132
80,133
80,134
80,135
80,136
80,137
80,138
81,139
81,140
81,141
81,142
81,143
81,144
81,145
81,146
81,147
80,148
81,149
81,150
81,151
81,152
81,153
81,154
81,155
81,156
82,157
82,158
82,159
82,160
81,161
81,162
82,163
82,164
82,165
82,166
82,167
82,168
82,169
82,170
82,171
81,172
82,173
82,174
82,175
81,176
81,177
81,178
82,179
82,180
82,181
82,182
82,183
82,184
81,185
81,186
80,187
80,188
80,189
80,190
80,191
80,192
80,193
80,194
81,195
81,196
81,197
81,198
81,199
81,200
81,201
80,202
80,203
80,204
80,205
81,206
81,207
81,208
81,209
81,210
81,211
81,212
81,213
81,214
81,215
81,216
81,217
81,218
81,219
81,220
81,221
81,222
81,223
81,224
81,225
81,226
81,227
82,228
82,229
82,230
82,231
82,232
82,233
82,234
82,235
82,236
82,237
82,238
82,239
82,240
82,241
82,242
82,243
82,244
82,245
83,246
83,247
82,248
82,249
82,250
82,251
83,252
83,253
83,254
83,255
83,256
83,257
83,258
83,259
83,260
82,261
82,262
83,263
83,264
83,265
82,266
82,267
82,268
82,269
82,270
82,271
82,272
82,273
82,274
82,275
82,276
82,277
82,278
82,279
82,280
82,281
82,282
82,283
82,284
82,285
82,286
82,287
81,288
81,289
81,290
81,291
81,292
81,293
81,294
81,295
81,296
81,297
81,298
81,299
81,300
80,301
80,302
81,303
80,304
80,305
80,306
80,307
80,308
80,309
80,310
80,311
80,312
80,313
80,314
80,315
80,316
80,317
80,318
80,319
80,320
80,321
80,322
80,323
81,324
80,325
80,326
80,327
80,328
81,329
81,330
80,331
80,332
80,333
81,334
81,335
81,336
81,337
81,338
81,339
81,340
81,341
81,342
80,343
80,344
80,345
80,346
80,347
80,348
81,349
81,350
80,351
80,352
80,353
80,354
80,355
80,356
80,357
80,358
80,359
80,360
80,361
80,362
80,363
80,364
80,365
80,366
80,367
80,368
80,369
79,370
80,371
79,372
79,373
79,374
79,375
79,376
79,377
79,378
79,379
79,380
79,381
79,382
79,383
79,384
79,385
79,386
79,387
79,388
79,389
79,390
79,391
79,392
78,393
78,394
78,395
78,396
78,397
78,398
78,399
78,400
79,401
79,402
79,403
79,404
79,405
79,406
79,407
79,408
78,409
78,410
78,411
78,412
78,413
78,414
78,415
78,416
78,417
78,418
78,419
78,420
78,421
78,422
78,423
78,424
78,425
78,426
78,427
78,428
78,429
78,430
78,431
78,432
79,433
79,434
79,435
79,436
79,437
79,438
79,439
79,440
79,441
79,442
79,443
79,444
78,445
78,446
79,447
79,448
79,449
79,450
79,451
79,452
79,453
79,454
79,455
79,456
79,457
79,458
79,459
79,460
79,461
79,462
79,463
79,464
79,465
79,466
79,467
79,468
79,469
79,470
79,471
79,472
79,473
79,474
79,475
79,476
79,477
79,478
78,479
78,480
78,481
78,482
78,483
78,484
78,485
78,486
78,487
78,488
78,489
78,490
78,491
78,492
78,493
78,494
78,495
78,496
78,497
78,498
78,499
78,500
78,501
78,502
78,503
78,504
78,505
78,506
78,507
78,508
78,509
78,510
78,511
78,512
78,513
77,514
77,515
77,516
77,517
77,518
77,519
77,520
77,521
76,522
76,523
77,524
77,525
77,526
77,527
77,528
77,529
76,530
76,531
76,532
76,533
76,534
76,535
76,536
76,537
76,538
76,539
76,540
76,541
76,542
76,543
76,544
77,545
76,546
76,547
76,548
77,549
76,550
76,551
76,552
76,553
76,554
76,555
76,556
76,557
76,558
76,559
76,560
76,561
77,562
77,563
77,564
76,565
77,566
77,567
77,568
77,569
77,570
77,571
76,572
76,573
76,574
76,575
76,576
76,577
76,578
76,579
76,580
76,581
76,582
76,583
76,584
76,585
76,586
76,587
76,588
76,589
76,590
76,591
76,592
76,593
76,594
76,595
76,596
76,597
75,598
75,599
75,600
75,601
75,602
75,603
75,604
75,605
75,606
75,607
75,608
75,609
75,610
75,611
75,612
75,613
75,614
75,615
75,616
75,617
75,618
75,619
75,620
75,621
75,622
75,623
75,624
75,625
75,626
75,627
75,628
76,629
75,630
75,631
75,632
75,633
75,634
75,635
75,636
75,637
75,638
75,639
75,640
74,641
74,642
74,643
74,644
74,645
74,646
74,647
74,648
74,649
74,650
74,651
74,652
74,653
74,654
74,655
74,656
74,657
74,658
74,659
74,660
74,661
74,662
74,663
74,664
74,665
74,666
73,667
73,668
73,669
73,670
73,671
73,672
73,673
73,674
73,675
73,676
73,677
73,678
73,679
73,680
73,681
73,682
73,683
73,684
73,685
73,686
73,687
73,688
73,689
73,690
74,691
74,692
73,693
73,694
74,695
74,696
74,697
73,698
73,699
73,700
73,701
73,702
73,703
73,704
73,705
73,706
73,707
73,708
73,709
73,710
73,711
73,712
73,713
73,714
73,715
73,716
73,717
73,718
73,719
73,720
73,721
73,722
73,723
73,724
73,725
73,726
73,727
73,728
73,729
73,730
73,731
73,732
73,733
73,734
73,735
73,736
72,737
72,738
72,739
72,740
72,741
73,742
72,743
72,744
72,745
72,746
72,747
72,748
72,749
72,750
72,751
72,752
72,753
72,754
72,755
72,756
72,757
72,758
72,759
72,760
72,761
72,762
72,763
72,764
72,765
72,766
72,767
72,768
72,769
72,770
72,771
72,772
72,773
72,774
72,775
72,776
72,777
72,778
72,779
72,780
72,781
72,782
72,783
72,784
72,785
72,786
72,787
72,788
72,789
72,790
72,791
72,792
72,793
72,794
72,795
72,796
72,797
72,798
72,799
72,800
72,801
72,802
72,803
72,804
72,805
72,806
72,807
72,808
72,809
72,810
72,811
72,812
72,813
72,814
72,815
72,816
71,817
72,818
71,819
71,820
71,821
72,822
72,823
72,824
72,825
72,826
72,827
72,828
72,829
72,830
72,831
72,832
72,833
72,834
71,835
71,836
71,837
71,838
71,839
71,840
71,841
71,842
71,843
71,844
71,845
71,846
71,847
71,848
71,849
71,850
71,851
71,852
71,853
71,854
71,855
71,856
71,857
71,858
71,859
71,860
71,861
71,862
71,863
71,864
71,865
71,866
71,867
71,868
71,869
71,870
71,871
71,872
71,873
71,874
71,875
71,876
71,877
71,878
71,879
71,880
71,881
71,882
71,883
71,884
71,885
71,886
71,887
71,888
71,889
71,890
71,891
71,892
71,893
71,894
71,895
71,896
71,897
71,898
71,899
71,900
71,901
71,902
71,903
71,904
71,905
71,906
71,907
71,908
71,909
71,910
71,911
71,912
71,913
71,914
71,915
71,916
71,917
71,918
71,919
71,920
71,921
71,922
71,923
71,924
71,925
71,926
71,927
71,928
71,929
71,930
71,931
71,932
71,933
71,934
71,935
71,936
71,937
71,938
71,939
71,940
71,941
70,942
70,943
70,944
70,945
70,946
70,947
70,948
70,949
70,950
70,951
70,952
70,953
70,954
70,955
70,956
70,957
70,958
70,959
70,960
70,961
70,962
70,963
70,964
70,965
70,966
70,967
70,968
70,969
70,970
70,971
70,972
70,973
70,974
70,975
70,976
70,977
70,978
70,979
70,980
70,981
70,982
70,983
70,984
70,985
70,986
70,987
70,988
70,989
70,990
70,991
70,992
70,993
70,994
70,995
70,996
70,997
70,998
70,999
70,1000
70,1001
70,1002
70,1003
70,1004
70,1005
70,1006
70,1007
70,1008
70,1009
70,1010
70,1011
69,1012
69,1013
69,1014
69,1015
69,1016
69,1017
69,1018
69,1019
69,1020
69,1021
69,1022
69,1023
69,1024
69,1025
69,1026
69,1027
69,1028
69,1029
69,1030
69,1031
69,1032
69,1033
69,1034
69,1035
69,1036
69,1037
69,1038
69,1039
69,1040
69,1041
69,1042
69,1043
69,1044
69,1045
69,1046
69,1047
69,1048
69,1049
69,1050
69,1051
69,1052
69,1053
69,1054
69,1055
69,1056
69,1057
69,1058
69,1059
69,1060
69,1061
69,1062
69,1063
69,1064
69,1065
69,1066
69,1067
69,1068
69,1069
69,1070
69,1071
69,1072
69,1073
69,1074
69,1075
69,1076
69,1077
69,1078
68,1079
69,1080
69,1081
69,1082
69,1083
69,1084
68,1085
69,1086
69,1087
69,1088
69,1089
69,1090
69,1091
69,1092
69,1093
69,1094
69,1095
69,1096
69,1097
69,1098
69,1099
69,1100
69,1101
69,1102
68,1103
68,1104
68,1105
68,1106
68,1107
68,1108
68,1109
68,1110
68,1111
68,1112
68,1113
68,1114
68,1115
68,1116
68,1117
68,1118
68,1119
68,1120
68,1121
68,1122
68,1123
68,1124
68,1125
68,1126
68,1127
68,1128
68,1129
68,1130
68,1131
68,1132
68,1133
68,1134
68,1135
68,1136
68,1137
68,1138
68,1139
68,1140
68,1141
68,1142
68,1143
68,1144
68,1145
68,1146
68,1147
68,1148
68,1149
68,1150
68,1151
68,1152
68,1153
68,1154
68,1155
68,1156
68,1157
68,1158
68,1159
68,1160
68,1161
68,1162
68,1163
68,1164
68,1165
68,1166
68,1167
68,1168
68,1169
68,1170
68,1171
67,1172
67,1173
67,1174
67,1175
67,1176
67,1177
67,1178
67,1179
67,1180
67,1181
67,1182
67,1183
67,1184
67,1185
67,1186
67,1187
67,1188
67,1189
67,1190
67,1191
67,1192
67,1193
67,1194
67,1195
67,1196
67,1197
67,1198
67,1199
67,1200
67,1201
67,1202
67,1203
67,1204
67,1205
67,1206
67,1207
67,1208
67,1209
67,1210
67,1211
67,1212
67,1213
67,1214
67,1215
67,1216
67,1217
67,1218
67,1219
67,1220
67,1221
67,1222
67,1223
67,1224
67,1225
67,1226
67,1227
67,1228
67,1229
67,1230
67,1231
67,1232
67,1233
67,1234
67,1235
67,1236
67,1237
67,1238
67,1239
67,1240
67,1241
67,1242
67,1243
67,1244
67,1245
66,1246
66,1247
66,1248
66,1249
66,1250
66,1251
66,1252
66,1253
66,1254
66,1255
66,1256
66,1257
66,1258
66,1259
66,1260
66,1261
66,1262
66,1263
66,1264
66,1265
66,1266
66,1267
66,1268
66,1269
66,1270
66,1271
66,1272
66,1273
66,1274
66,1275
66,1276
66,1277
66,1278
66,1279
66,1280
66,1281
66,1282
66,1283
66,1284
66,1285
66,1286
66,1287
66,1288
66,1289
66,1290
66,1291
66,1292
66,1293
66,1294
66,1295
66,1296
66,1297
66,1298
66,1299
66,1300
65,1301
65,1302
65,1303
65,1304
65,1305
65,1306
65,1307
66,1308
66,1309
66,1310
66,1311
66,1312
66,1313
66,1314
66,1315
66,1316
66,1317
66,1318
66,1319
65,1320
65,1321
65,1322
65,1323
65,1324
66,1325
66,1326
65,1327
66,1328
65,1329
65,1330
66,1331
66,1332
66,1333
66,1334
66,1335
66,1336
66,1337
66,1338
66,1339
66,1340
66,1341
66,1342
66,1343
66,1344
66,1345
66,1346
66,1347
66,1348
66,1349
66,1350
66,1351
66,1352
66,1353
66,1354
66,1355
66,1356
66,1357
66,1358
66,1359
66,1360
66,1361
66,1362
66,1363
66,1364
66,1365
66,1366
66,1367
66,1368
66,1369
66,1370
66,1371
66,1372
66,1373
66,1374
66,1375
66,1376
66,1377
66,1378
66,1379
66,1380
66,1381
66,1382
66,1383
66,1384
66,1385
66,1386
66,1387
66,1388
66,1389
66,1390
66,1391
66,1392
66,1393
66,1394
66,1395
66,1396
66,1397
66,1398
66,1399
66,1400
66,1401
66,1402
66,1403
66,1404
66,1405
66,1406
66,1407
66,1408
66,1409
65,1410
65,1411
65,1412
65,1413
65,1414
65,1415
65,1416
