FrecuenciaDeaciertos,NumeroDeAccesos
0,1
50,2
67,3
75,4
80,5
83,6
86,7
88,8
89,9
90,10
91,11
92,12
92,13
93,14
93,15
94,16
94,17
94,18
95,19
95,20
95,21
95,22
96,23
96,24
96,25
96,26
96,27
96,28
97,29
97,30
97,31
94,32
94,33
94,34
94,35
94,36
95,37
95,38
95,39
95,40
95,41
95,42
95,43
95,44
96,45
96,46
96,47
96,48
96,49
96,50
96,51
96,52
96,53
96,54
96,55
96,56
96,57
97,58
97,59
97,60
97,61
97,62
97,63
97,64
97,65
97,66
97,67
96,68
96,69
96,70
96,71
96,72
96,73
96,74
96,75
96,76
96,77
96,78
96,79
96,80
96,81
96,82
96,83
96,84
96,85
97,86
97,87
97,88
97,89
97,90
97,91
97,92
97,93
97,94
97,95
97,96
97,97
97,98
97,99
97,100
97,101
97,102
97,103
97,104
97,105
97,106
97,107
97,108
97,109
97,110
97,111
97,112
97,113
97,114
97,115
97,116
97,117
97,118
97,119
98,120
98,121
98,122
98,123
98,124
98,125
98,126
98,127
98,128
98,129
98,130
98,131
98,132
98,133
98,134
98,135
98,136
98,137
98,138
98,139
98,140
98,141
98,142
98,143
98,144
98,145
98,146
98,147
98,148
98,149
98,150
98,151
98,152
98,153
98,154
98,155
98,156
98,157
98,158
98,159
98,160
98,161
98,162
98,163
98,164
98,165
98,166
98,167
98,168
98,169
98,170
98,171
98,172
98,173
98,174
98,175
98,176
98,177
98,178
98,179
98,180
98,181
98,182
98,183
98,184
98,185
98,186
98,187
98,188
98,189
98,190
98,191
98,192
98,193
98,194
98,195
98,196
98,197
98,198
98,199
98,200
99,201
99,202
99,203
99,204
99,205
98,206
98,207
97,208
97,209
97,210
97,211
97,212
97,213
97,214
97,215
97,216
97,217
97,218
97,219
97,220
97,221
97,222
97,223
97,224
97,225
97,226
97,227
97,228
97,229
97,230
97,231
97,232
97,233
97,234
97,235
97,236
97,237
97,238
97,239
98,240
98,241
98,242
98,243
98,244
98,245
98,246
98,247
98,248
98,249
98,250
98,251
98,252
98,253
98,254
98,255
98,256
98,257
98,258
98,259
98,260
98,261
98,262
98,263
98,264
98,265
98,266
98,267
98,268
98,269
98,270
98,271
98,272
98,273
98,274
98,275
98,276
98,277
98,278
98,279
98,280
98,281
98,282
98,283
98,284
98,285
98,286
98,287
98,288
98,289
98,290
98,291
98,292
98,293
98,294
98,295
98,296
98,297
98,298
98,299
98,300
98,301
98,302
98,303
98,304
98,305
98,306
98,307
98,308
98,309
98,310
98,311
98,312
98,313
98,314
98,315
98,316
98,317
98,318
98,319
98,320
98,321
98,322
98,323
98,324
98,325
98,326
98,327
98,328
98,329
98,330
98,331
98,332
98,333
98,334
98,335
98,336
98,337
98,338
98,339
98,340
98,341
98,342
98,343
98,344
98,345
98,346
98,347
98,348
98,349
98,350
98,351
98,352
98,353
98,354
98,355
98,356
98,357
98,358
98,359
98,360
98,361
98,362
98,363
98,364
98,365
98,366
98,367
98,368
98,369
98,370
98,371
98,372
98,373
98,374
98,375
98,376
98,377
98,378
98,379
98,380
98,381
98,382
98,383
98,384
98,385
98,386
98,387
98,388
98,389
98,390
98,391
98,392
98,393
98,394
98,395
98,396
98,397
98,398
98,399
98,400
98,401
98,402
98,403
98,404
98,405
98,406
98,407
98,408
98,409
98,410
98,411
98,412
98,413
98,414
98,415
98,416
98,417
98,418
98,419
98,420
98,421
98,422
98,423
98,424
98,425
98,426
98,427
98,428
98,429
98,430
98,431
98,432
98,433
98,434
98,435
98,436
98,437
98,438
98,439
98,440
98,441
98,442
98,443
98,444
98,445
98,446
98,447
98,448
98,449
98,450
98,451
98,452
98,453
98,454
98,455
98,456
98,457
98,458
98,459
98,460
98,461
98,462
98,463
98,464
98,465
98,466
98,467
98,468
98,469
98,470
98,471
98,472
98,473
98,474
98,475
98,476
98,477
98,478
98,479
98,480
98,481
98,482
98,483
98,484
98,485
98,486
98,487
98,488
98,489
98,490
98,491
98,492
98,493
98,494
98,495
98,496
98,497
98,498
98,499
98,500
98,501
98,502
98,503
98,504
98,505
98,506
98,507
98,508
98,509
98,510
98,511
98,512
98,513
98,514
98,515
98,516
98,517
98,518
98,519
98,520
98,521
98,522
98,523
98,524
98,525
98,526
98,527
98,528
98,529
98,530
98,531
98,532
98,533
98,534
98,535
98,536
98,537
98,538
98,539
98,540
98,541
98,542
98,543
98,544
98,545
98,546
98,547
98,548
98,549
98,550
98,551
98,552
98,553
98,554
98,555
98,556
98,557
98,558
98,559
98,560
98,561
98,562
98,563
98,564
98,565
98,566
98,567
98,568
98,569
98,570
98,571
98,572
98,573
98,574
98,575
98,576
98,577
98,578
98,579
98,580
98,581
98,582
98,583
98,584
98,585
98,586
98,587
98,588
98,589
98,590
98,591
98,592
98,593
98,594
98,595
98,596
98,597
98,598
98,599
98,600
98,601
98,602
98,603
98,604
98,605
98,606
98,607
98,608
98,609
98,610
98,611
98,612
98,613
98,614
98,615
98,616
98,617
98,618
98,619
98,620
98,621
98,622
98,623
98,624
98,625
98,626
98,627
98,628
98,629
98,630
98,631
98,632
98,633
98,634
98,635
98,636
98,637
98,638
98,639
98,640
98,641
98,642
98,643
98,644
98,645
98,646
98,647
98,648
98,649
98,650
98,651
98,652
98,653
98,654
98,655
98,656
98,657
98,658
98,659
98,660
98,661
98,662
98,663
98,664
98,665
97,666
97,667
97,668
97,669
97,670
97,671
97,672
97,673
97,674
97,675
97,676
97,677
97,678
97,679
97,680
97,681
97,682
97,683
97,684
97,685
97,686
97,687
97,688
97,689
97,690
97,691
97,692
97,693
97,694
97,695
97,696
97,697
97,698
97,699
97,700
97,701
97,702
97,703
97,704
97,705
97,706
97,707
97,708
97,709
97,710
97,711
97,712
97,713
97,714
97,715
97,716
97,717
97,718
97,719
98,720
98,721
98,722
98,723
98,724
98,725
98,726
98,727
98,728
98,729
98,730
98,731
98,732
98,733
98,734
98,735
98,736
97,737
97,738
97,739
97,740
97,741
97,742
97,743
97,744
97,745
97,746
97,747
97,748
97,749
97,750
97,751
97,752
97,753
97,754
97,755
97,756
97,757
97,758
97,759
98,760
98,761
98,762
98,763
98,764
98,765
98,766
98,767
98,768
98,769
98,770
98,771
98,772
98,773
98,774
98,775
98,776
98,777
98,778
98,779
98,780
98,781
98,782
98,783
98,784
98,785
98,786
98,787
98,788
98,789
98,790
98,791
98,792
98,793
98,794
98,795
98,796
98,797
98,798
97,799
98,800
98,801
97,802
97,803
97,804
97,805
97,806
97,807
97,808
97,809
97,810
97,811
97,812
97,813
97,814
97,815
97,816
97,817
97,818
97,819
97,820
97,821
97,822
97,823
97,824
97,825
97,826
97,827
97,828
97,829
97,830
97,831
97,832
97,833
97,834
97,835
97,836
97,837
97,838
97,839
97,840
97,841
97,842
97,843
97,844
97,845
97,846
97,847
97,848
97,849
97,850
97,851
97,852
97,853
97,854
97,855
97,856
97,857
97,858
97,859
97,860
97,861
97,862
97,863
97,864
97,865
97,866
97,867
97,868
97,869
97,870
97,871
97,872
97,873
97,874
97,875
97,876
97,877
97,878
97,879
97,880
97,881
97,882
97,883
97,884
97,885
97,886
97,887
97,888
97,889
97,890
97,891
97,892
97,893
97,894
97,895
97,896
97,897
97,898
97,899
97,900
97,901
97,902
97,903
97,904
97,905
97,906
97,907
97,908
97,909
97,910
97,911
97,912
97,913
97,914
97,915
97,916
97,917
97,918
97,919
97,920
97,921
97,922
97,923
97,924
97,925
97,926
97,927
97,928
97,929
97,930
97,931
97,932
97,933
97,934
97,935
97,936
97,937
97,938
97,939
97,940
97,941
97,942
97,943
97,944
97,945
97,946
97,947
97,948
97,949
97,950
97,951
97,952
97,953
97,954
97,955
97,956
97,957
97,958
97,959
97,960
97,961
97,962
97,963
97,964
97,965
97,966
97,967
97,968
97,969
97,970
97,971
97,972
97,973
97,974
97,975
97,976
97,977
97,978
97,979
97,980
97,981
97,982
97,983
97,984
97,985
97,986
97,987
97,988
97,989
97,990
97,991
97,992
97,993
97,994
97,995
97,996
97,997
97,998
97,999
97,1000
97,1001
97,1002
97,1003
97,1004
97,1005
97,1006
97,1007
97,1008
97,1009
97,1010
97,1011
97,1012
97,1013
97,1014
97,1015
97,1016
97,1017
97,1018
97,1019
97,1020
97,1021
97,1022
97,1023
97,1024
97,1025
97,1026
97,1027
97,1028
97,1029
97,1030
97,1031
97,1032
97,1033
97,1034
97,1035
97,1036
97,1037
97,1038
97,1039
97,1040
97,1041
97,1042
97,1043
97,1044
97,1045
97,1046
97,1047
97,1048
97,1049
97,1050
97,1051
97,1052
97,1053
97,1054
97,1055
97,1056
97,1057
97,1058
97,1059
97,1060
97,1061
97,1062
97,1063
97,1064
97,1065
97,1066
97,1067
97,1068
97,1069
97,1070
97,1071
97,1072
97,1073
97,1074
97,1075
97,1076
97,1077
97,1078
97,1079
97,1080
97,1081
97,1082
97,1083
97,1084
97,1085
97,1086
97,1087
97,1088
97,1089
97,1090
97,1091
97,1092
97,1093
97,1094
97,1095
97,1096
97,1097
97,1098
97,1099
97,1100
97,1101
97,1102
97,1103
97,1104
97,1105
97,1106
97,1107
97,1108
97,1109
97,1110
97,1111
97,1112
97,1113
97,1114
97,1115
97,1116
97,1117
97,1118
97,1119
97,1120
97,1121
97,1122
97,1123
97,1124
97,1125
97,1126
97,1127
97,1128
97,1129
97,1130
97,1131
97,1132
97,1133
97,1134
97,1135
97,1136
97,1137
97,1138
97,1139
97,1140
97,1141
97,1142
97,1143
97,1144
97,1145
97,1146
97,1147
97,1148
97,1149
97,1150
97,1151
97,1152
97,1153
97,1154
97,1155
97,1156
97,1157
97,1158
97,1159
97,1160
97,1161
97,1162
97,1163
97,1164
97,1165
97,1166
97,1167
97,1168
97,1169
97,1170
97,1171
97,1172
97,1173
97,1174
97,1175
97,1176
97,1177
97,1178
97,1179
97,1180
97,1181
97,1182
97,1183
97,1184
97,1185
97,1186
97,1187
97,1188
97,1189
97,1190
97,1191
97,1192
97,1193
97,1194
97,1195
97,1196
97,1197
97,1198
97,1199
97,1200
97,1201
97,1202
97,1203
97,1204
97,1205
97,1206
97,1207
97,1208
97,1209
97,1210
97,1211
97,1212
97,1213
97,1214
97,1215
97,1216
97,1217
97,1218
97,1219
97,1220
97,1221
97,1222
97,1223
97,1224
97,1225
97,1226
97,1227
97,1228
97,1229
97,1230
97,1231
97,1232
97,1233
97,1234
97,1235
97,1236
97,1237
97,1238
97,1239
97,1240
97,1241
97,1242
97,1243
97,1244
97,1245
97,1246
97,1247
97,1248
97,1249
97,1250
97,1251
97,1252
97,1253
97,1254
97,1255
97,1256
97,1257
97,1258
97,1259
97,1260
97,1261
97,1262
97,1263
97,1264
97,1265
97,1266
97,1267
97,1268
97,1269
97,1270
97,1271
97,1272
97,1273
97,1274
97,1275
97,1276
97,1277
97,1278
97,1279
97,1280
97,1281
97,1282
97,1283
97,1284
97,1285
97,1286
97,1287
97,1288
97,1289
97,1290
97,1291
97,1292
97,1293
97,1294
97,1295
97,1296
97,1297
97,1298
97,1299
97,1300
97,1301
97,1302
97,1303
97,1304
97,1305
97,1306
97,1307
97,1308
97,1309
97,1310
97,1311
97,1312
97,1313
97,1314
97,1315
97,1316
97,1317
97,1318
97,1319
97,1320
97,1321
97,1322
97,1323
97,1324
97,1325
97,1326
97,1327
97,1328
97,1329
97,1330
97,1331
97,1332
97,1333
97,1334
97,1335
97,1336
97,1337
97,1338
97,1339
97,1340
97,1341
97,1342
97,1343
97,1344
97,1345
97,1346
97,1347
97,1348
97,1349
97,1350
97,1351
97,1352
97,1353
97,1354
97,1355
97,1356
97,1357
97,1358
97,1359
97,1360
97,1361
97,1362
97,1363
97,1364
97,1365
97,1366
97,1367
97,1368
97,1369
97,1370
97,1371
97,1372
97,1373
97,1374
97,1375
97,1376
97,1377
97,1378
97,1379
97,1380
97,1381
97,1382
97,1383
97,1384
97,1385
97,1386
97,1387
97,1388
97,1389
97,1390
97,1391
97,1392
97,1393
97,1394
97,1395
97,1396
97,1397
97,1398
97,1399
97,1400
97,1401
97,1402
97,1403
97,1404
97,1405
97,1406
97,1407
97,1408
97,1409
97,1410
97,1411
97,1412
97,1413
97,1414
97,1415
97,1416
