1
Direccion leida 0x573c0362
Fallo
Índice    V    Etiqueta                        Datos                                   
000000    0    0000000000000000000000          00000000000000000000000000000000        
000001    0    0000000000000000000000          00000000000000000000000000000000        
000010    0    0000000000000000000000          00000000000000000000000000000000        
000011    0    0000000000000000000000          00000000000000000000000000000000        
000100    0    0000000000000000000000          00000000000000000000000000000000        
000101    0    0000000000000000000000          00000000000000000000000000000000        
000110    0    0000000000000000000000          00000000000000000000000000000000        
000111    0    0000000000000000000000          00000000000000000000000000000000        
001000    0    0000000000000000000000          00000000000000000000000000000000        
001001    0    0000000000000000000000          00000000000000000000000000000000        
001010    0    0000000000000000000000          00000000000000000000000000000000        
001011    0    0000000000000000000000          00000000000000000000000000000000        
001100    0    0000000000000000000000          00000000000000000000000000000000        
001101    0    0000000000000000000000          00000000000000000000000000000000        
001110    0    0000000000000000000000          00000000000000000000000000000000        
001111    0    0000000000000000000000          00000000000000000000000000000000        
010000    0    0000000000000000000000          00000000000000000000000000000000        
010001    0    0000000000000000000000          00000000000000000000000000000000        
010010    0    0000000000000000000000          00000000000000000000000000000000        
010011    0    0000000000000000000000          00000000000000000000000000000000        
010100    0    0000000000000000000000          00000000000000000000000000000000        
010101    0    0000000000000000000000          00000000000000000000000000000000        
010110    0    0000000000000000000000          00000000000000000000000000000000        
010111    0    0000000000000000000000          00000000000000000000000000000000        
011000    0    0000000000000000000000          00000000000000000000000000000000        
011001    0    0000000000000000000000          00000000000000000000000000000000        
011010    0    0000000000000000000000          00000000000000000000000000000000        
011011    0    0000000000000000000000          00000000000000000000000000000000        
011100    0    0000000000000000000000          00000000000000000000000000000000        
011101    0    0000000000000000000000          00000000000000000000000000000000        
011110    0    0000000000000000000000          00000000000000000000000000000000        
011111    0    0000000000000000000000          00000000000000000000000000000000        
100000    0    0000000000000000000000          00000000000000000000000000000000        
100001    0    0000000000000000000000          00000000000000000000000000000000        
100010    0    0000000000000000000000          00000000000000000000000000000000        
100011    0    0000000000000000000000          00000000000000000000000000000000        
100100    0    0000000000000000000000          00000000000000000000000000000000        
100101    0    0000000000000000000000          00000000000000000000000000000000        
100110    0    0000000000000000000000          00000000000000000000000000000000        
100111    0    0000000000000000000000          00000000000000000000000000000000        
101000    0    0000000000000000000000          00000000000000000000000000000000        
101001    0    0000000000000000000000          00000000000000000000000000000000        
101010    0    0000000000000000000000          00000000000000000000000000000000        
101011    0    0000000000000000000000          00000000000000000000000000000000        
101100    0    0000000000000000000000          00000000000000000000000000000000        
101101    0    0000000000000000000000          00000000000000000000000000000000        
101110    0    0000000000000000000000          00000000000000000000000000000000        
101111    0    0000000000000000000000          00000000000000000000000000000000        
110000    0    0000000000000000000000          00000000000000000000000000000000        
110001    0    0000000000000000000000          00000000000000000000000000000000        
